name,natoms
AVIPAX_0.04_0_w_CO2_2H2O_1,391
AVIPAX_0.04_0_w_CO2_2H2O_2,391
AVIPAX_0.04_0_w_CO2_2H2O_3,391
AVIPAX_0.04_0_w_CO2_2H2O_4,391
AVIPAX_0.04_0_w_CO2_2H2O_5,391
AVIPAX_0.04_0_w_CO2_2H2O_6,391
CAYYEG_0.16_0_w_CO2_2H2O_2,388
CAYYEG_0.16_0_w_CO2_2H2O_5,388
CAYYEG_0.16_0_w_CO2_2H2O_6,388
DOYLEI_0.05_1_w_CO2_2H2O_1,109
DOYLEI_0.05_1_w_CO2_2H2O_2,109
DOYLEI_0.05_1_w_CO2_2H2O_3,109
DOYLEI_0.05_1_w_CO2_2H2O_4,109
CAYYEG_0.16_0_w_CO2_2H2O_random_2,388
AVIPAX_0.04_0_w_CO2_1,385
AVIPAX_0.04_0_w_CO2_2,385
AVIPAX_0.04_0_w_CO2_3,385
AVIPAX_0.04_0_w_CO2_4,385
CAYYEG_0.16_0_w_CO2_2,382
CAYYEG_0.16_0_w_CO2_3,382
CAYYEG_0.16_0_w_CO2_4,382
DOYLEI_0.05_1_w_CO2_1,103
DOYLEI_0.05_1_w_CO2_2,103
DOYLEI_0.05_1_w_CO2_3,103
AVIPAX_0.04_0_w_CO2_random_1,385
AVIPAX_0.04_0_w_CO2_random_2,385
CAYYEG_0.16_0_w_CO2_random_1,382
CAYYEG_0.16_0_w_CO2_random_2,382
DOYLEI_0.05_1_w_CO2_random_1,103
DOYLEI_0.05_1_w_CO2_random_2,103
AVIPAX_0.04_0_w_CO2_H2O_1,388
AVIPAX_0.04_0_w_CO2_H2O_2,388
AVIPAX_0.04_0_w_CO2_H2O_3,388
AVIPAX_0.04_0_w_CO2_H2O_4,388
AVIPAX_0.04_0_w_CO2_H2O_5,388
AVIPAX_0.04_0_w_CO2_H2O_6,388
CAYYEG_0.16_0_w_CO2_H2O_1,385
CAYYEG_0.16_0_w_CO2_H2O_2,385
CAYYEG_0.16_0_w_CO2_H2O_4,385
CAYYEG_0.16_0_w_CO2_H2O_5,385
CAYYEG_0.16_0_w_CO2_H2O_7,385
DOYLEI_0.05_1_w_CO2_H2O_1,106
DOYLEI_0.05_1_w_CO2_H2O_2,106
DOYLEI_0.05_1_w_CO2_H2O_3,106
DOYLEI_0.05_1_w_CO2_H2O_4,106
DOYLEI_0.05_1_w_CO2_H2O_5,106
AVIPAX_0.04_0_w_CO2_H2O_random_1,388
AVIPAX_0.04_0_w_CO2_H2O_random_2,388
CAYYEG_0.16_0_w_CO2_H2O_random_2,385
DOYLEI_0.05_1_w_CO2_H2O_random_1,106
DOYLEI_0.05_1_w_CO2_H2O_random_2,106
AVIPAX_0.04_0_w_H2O_1,385
AVIPAX_0.04_0_w_H2O_2,385
AVIPAX_0.04_0_w_H2O_3,385
CAYYEG_0.16_0_w_H2O_2,382
CAYYEG_0.16_0_w_H2O_3,382
DOYLEI_0.05_1_w_H2O_1,103
DOYLEI_0.05_1_w_H2O_2,103
AVIPAX_0.04_0_w_H2O_random_1,385
AVIPAX_0.04_0_w_H2O_random_2,385
CAYYEG_0.16_0_w_H2O_random_2,382
DOYLEI_0.05_1_w_H2O_random_1,103
DOYLEI_0.05_1_w_H2O_random_2,103
ACODON_w_CO2_1,179
ACODON_w_CO2_2,179
ACODON_w_CO2_3,179
ACODON_w_CO2_4,179
ALUJEX_w_CO2_1,315
ALUJEX_w_CO2_2,315
ALUJEX_w_CO2_3,315
ALUJEX_w_CO2_4,315
ALUJEX_w_CO2_5,315
DAKVIW_w_CO2_1,165
DAKVIW_w_CO2_2,165
DAKVIW_w_CO2_3,165
DAKVIW_w_CO2_4,165
DAKVIW_w_CO2_5,165
DEYJIC_w_CO2_1,67
DEYJIC_w_CO2_2,67
DEYJIC_w_CO2_3,67
DEYJIC_w_CO2_4,67
DONNAW01_SL_w_CO2_1,79
DONNAW01_SL_w_CO2_2,79
DONNAW01_SL_w_CO2_3,79
DONNAW01_SL_w_CO2_4,79
ACODON_w_CO2_random_1,179
ACODON_w_CO2_random_2,179
ALUJEX_w_CO2_random_1,315
ALUJEX_w_CO2_random_2,315
DAKVIW_w_CO2_random_1,165
DAKVIW_w_CO2_random_2,165
DEYJIC_w_CO2_random_1,67
DEYJIC_w_CO2_random_2,67
DONNAW01_SL_w_CO2_random_1,79
DONNAW01_SL_w_CO2_random_2,79
ACODON_w_CO2_2H2O_1,185
ACODON_w_CO2_2H2O_2,185
ACODON_w_CO2_2H2O_3,185
ACODON_w_CO2_2H2O_4,185
ACODON_w_CO2_2H2O_5,185
ALUJEX_w_CO2_2H2O_1,321
ALUJEX_w_CO2_2H2O_2,321
ALUJEX_w_CO2_2H2O_3,321
ALUJEX_w_CO2_2H2O_4,321
DAKVIW_w_CO2_2H2O_1,171
DAKVIW_w_CO2_2H2O_2,171
DAKVIW_w_CO2_2H2O_3,171
DAKVIW_w_CO2_2H2O_4,171
DAKVIW_w_CO2_2H2O_5,171
DEYJIC_w_CO2_2H2O_1,73
DEYJIC_w_CO2_2H2O_2,73
DEYJIC_w_CO2_2H2O_3,73
DEYJIC_w_CO2_2H2O_4,73
DONNAW01_SL_w_CO2_2H2O_1,161
DONNAW01_SL_w_CO2_2H2O_2,85
DONNAW01_SL_w_CO2_2H2O_3,85
DONNAW01_SL_w_CO2_2H2O_4,85
DONNAW01_SL_w_CO2_2H2O_5,85
ACODON_w_CO2_H2O_1,182
ACODON_w_CO2_H2O_2,182
ACODON_w_CO2_H2O_3,182
ACODON_w_CO2_H2O_5,182
ALUJEX_w_CO2_H2O_1,318
ALUJEX_w_CO2_H2O_2,318
ALUJEX_w_CO2_H2O_3,318
ALUJEX_w_CO2_H2O_4,318
ALUJEX_w_CO2_H2O_5,318
DAKVIW_w_CO2_H2O_1,168
DAKVIW_w_CO2_H2O_2,168
DAKVIW_w_CO2_H2O_3,168
DAKVIW_w_CO2_H2O_4,168
DAKVIW_w_CO2_H2O_5,168
DAKVIW_w_CO2_H2O_6,168
DAKVIW_w_CO2_H2O_7,168
DAKVIW_w_CO2_H2O_8,168
DEYJIC_w_CO2_H2O_1,70
DEYJIC_w_CO2_H2O_2,70
DEYJIC_w_CO2_H2O_3,70
DEYJIC_w_CO2_H2O_4,70
DEYJIC_w_CO2_H2O_5,70
DONNAW01_SL_w_CO2_H2O_1,82
DONNAW01_SL_w_CO2_H2O_2,82
DONNAW01_SL_w_CO2_H2O_3,82
DONNAW01_SL_w_CO2_H2O_4,82
ACODON_w_CO2_H2O_random_1,182
ACODON_w_CO2_H2O_random_2,182
ALUJEX_w_CO2_H2O_random_1,318
ALUJEX_w_CO2_H2O_random_2,318
DEYJIC_w_CO2_H2O_random_1,70
DEYJIC_w_CO2_H2O_random_2,70
DONNAW01_SL_w_CO2_H2O_random_1,82
DONNAW01_SL_w_CO2_H2O_random_2,82
ACODON_w_H2O_1,179
ACODON_w_H2O_2,179
ALUJEX_w_H2O_1,315
ALUJEX_w_H2O_2,315
ALUJEX_w_H2O_3,315
DAKVIW_w_H2O_1,165
DAKVIW_w_H2O_2,165
DAKVIW_w_H2O_3,165
DEYJIC_w_H2O_1,67
DEYJIC_w_H2O_2,67
DEYJIC_w_H2O_3,67
DONNAW01_SL_w_H2O_1,79
DONNAW01_SL_w_H2O_2,79
ACODON_w_H2O_random_1,179
ACODON_w_H2O_random_2,179
ALUJEX_w_H2O_random_1,315
ALUJEX_w_H2O_random_2,315
DAKVIW_w_H2O_random_1,165
DAKVIW_w_H2O_random_2,165
DEYJIC_w_H2O_random_1,67
DEYJIC_w_H2O_random_2,67
DONNAW01_SL_w_H2O_random_1,79
DONNAW01_SL_w_H2O_random_2,79
ACAJIZ_0.04_0_w_CO2_2H2O_1,452
ACAJIZ_0.04_0_w_CO2_2H2O_2,452
ACAJIZ_0.04_0_w_CO2_2H2O_3,452
ACAJIZ_0.04_0_w_CO2_2H2O_4,452
ACAJIZ_0.04_0_w_CO2_2H2O_5,452
ASADAA_0.06_1_w_CO2_2H2O_1,346
ASADAA_0.06_1_w_CO2_2H2O_2,346
ASADAA_0.06_1_w_CO2_2H2O_3,346
ASADAA_0.06_1_w_CO2_2H2O_4,346
ASADAA_0.06_1_w_CO2_2H2O_5,346
ASADAA_0.06_1_w_CO2_2H2O_6,346
BUKYAJ_0.08_1_w_CO2_2H2O_1,295
BUKYAJ_0.08_1_w_CO2_2H2O_2,295
BUKYAJ_0.08_1_w_CO2_2H2O_3,295
BUKYAJ_0.08_1_w_CO2_2H2O_4,152
DIXKOL_0.06_0_w_CO2_2H2O_1,268
DIXKOL_0.06_0_w_CO2_2H2O_2,268
DIXKOL_0.06_0_w_CO2_2H2O_3,268
DIXKOL_0.06_0_w_CO2_2H2O_4,268
ASADAA_0.06_1_w_CO2_2H2O_random_1,346
ASADAA_0.06_1_w_CO2_2H2O_random_2,346
ACAJIZ_0.04_0_w_CO2_1,446
ACAJIZ_0.04_0_w_CO2_2,446
ACAJIZ_0.04_0_w_CO2_3,446
ACAJIZ_0.04_0_w_CO2_4,446
ASADAA_0.06_1_w_CO2_1,340
ASADAA_0.06_1_w_CO2_2,340
ASADAA_0.06_1_w_CO2_3,340
ASADAA_0.06_1_w_CO2_4,340
BUKYAJ_0.08_1_w_CO2_1,146
BUKYAJ_0.08_1_w_CO2_2,146
BUKYAJ_0.08_1_w_CO2_3,146
BUKYAJ_0.08_1_w_CO2_4,146
