mof_name,LCD,PLD,LFPD,ASA,AV_VF,AV_cm3g,has_NASA,OMS,Metal_enc,Topology_enc,lig1_length,Metal,Topology,energy_mean,n_h2o
ABEFUL,-0.9329137878183843,-1.276387836693118,-0.9174435918214973,-1.6567806304085544,-1.603614313319795,-1.1298984682563953,0.0,0,7,0,20.5225553740964,Other,Other,-1.0110639050000145,1.0
ABESUX,-0.43508998148048017,-0.5013889528827024,-0.5750134055356341,0.5650576597624426,-0.056732350747642636,-1.7453979179931034,0.0,1,7,1,2.79481734975268,Other,UNKNOWN,-0.4469693500000176,0.5
ABEXEM,-1.0014286884574906,-0.6845469496323275,-0.9954024983675038,-0.3524838089707234,-0.7714566083235194,-1.0532331211979853,1.0,1,4,1,7.29895398335508,La,UNKNOWN,-0.7835778766666408,0.6666666666666666
ABEXIQ,-1.010496310982174,-0.7345987941931864,-0.9945732087466679,-0.3752717193688674,-0.9374832064006349,-1.1212948260821771,1.0,1,7,1,7.29895398335508,Other,UNKNOWN,-0.05259040999999344,1.0
ABEYAJ,-1.0541724891490325,-0.8012842721264019,-1.0483873093931786,-0.44351540585701393,-1.0326447931033722,-1.2326275097193817,1.0,1,7,1,7.29895398335508,Other,UNKNOWN,-0.9668265699999665,1.0
ABEYIR,-1.074533097474445,-0.8357853417515045,-1.0586130512230028,-0.5022043458658952,-1.0751637999279993,-1.2849501040902351,1.0,1,7,1,7.29895398335508,Other,UNKNOWN,-0.658862923333345,0.6666666666666666
ABIXOZ,-0.2678246935003336,-0.7464340077092171,-0.2637161325367823,0.6735430733552675,0.16598625642897635,-0.9260971599888923,0.0,1,7,6,2.79481734975268,Other,pcu,1.7795445725000718,1.0
ABULOB,-0.9731632398886267,-0.670453460014263,-0.961410757594223,-0.03949776116363239,-0.34221711085585405,-0.44470332688499875,0.0,0,7,1,2.72565586763851,Other,UNKNOWN,-0.720779440000058,1.0
ABUWOJ,-0.8539435280404861,-0.7608227939062253,-0.889679761545552,0.5628666760023455,0.5142371694687802,0.12615753266018442,0.0,1,8,6,7.40672380304279,Zn,pcu,-1.0316906400000505,1.0
ACAJIY,-0.9283683963578165,-1.207000848497097,-1.0101181187905983,-0.6065185645590527,-0.41510683684092914,-0.09855564057168079,0.0,0,8,6,8.36873452349807,Zn,pcu,-0.7674916450001774,1.0
ACAJIZ,-0.28700556987679815,0.24463227453984407,-0.2710479409840933,-0.33276375826708954,-0.8888900557439183,-0.6125106387826689,0.0,0,2,0,9.91814838710719,Cu,Other,-0.8542876794999984,1.0
ACAJOF,0.018372376404206473,0.4255291067496993,0.034344578641210294,-0.12521088432014257,-0.5791087203073484,-0.37901275595182476,0.0,0,2,0,10.449362625896,Cu,Other,-0.6973821941667779,1.0
ACIBOE,0.571475809729809,0.8464317194628621,0.5874744073462598,0.8230775575507808,0.862488082508584,0.37120926177738683,0.0,1,8,0,7.26809201144628,Zn,Other,-0.7598021662499548,1.0
